Entity,Code,Year,5.5.2 - Proportion of women in senior and middle management positions - IC_GEN_MGTN (Percent)
Denmark,DNK,2015,26.9
Dominican Republic,DOM,2009,45.3
Dominican Republic,DOM,2010,45.9
Dominican Republic,DOM,2011,51.8
Dominican Republic,DOM,2012,55.8
Dominican Republic,DOM,2013,47.4
Dominican Republic,DOM,2015,52.7
Ecuador,ECU,2011,44
Ecuador,ECU,2012,42.8
Ecuador,ECU,2013,35.3
Ecuador,ECU,2014,36.4
Ecuador,ECU,2015,30.1
El Salvador,SLV,2010,32
El Salvador,SLV,2013,42.7
Estonia,EST,2000,34.8
Estonia,EST,2001,38.2
Estonia,EST,2002,37.2
Estonia,EST,2003,34.8
Estonia,EST,2004,41.2
Estonia,EST,2005,41
Estonia,EST,2006,39.6
Estonia,EST,2007,34.9
Estonia,EST,2008,36.6
Estonia,EST,2009,34.3
Estonia,EST,2010,38.4
Estonia,EST,2011,34.6
Estonia,EST,2012,31.6
Estonia,EST,2013,32.8
Estonia,EST,2014,30.8
Estonia,EST,2015,27.8
Ethiopia,ETH,2009,18.7
Ethiopia,ETH,2010,19.1
Ethiopia,ETH,2011,20.7
Ethiopia,ETH,2012,20.9
Ethiopia,ETH,2013,21.1
Finland,FIN,2000,27.6
Finland,FIN,2001,29.7
Finland,FIN,2002,30.2
Finland,FIN,2003,30.9
Finland,FIN,2004,30.7
Finland,FIN,2005,32.7
Finland,FIN,2006,33.9
Finland,FIN,2007,32.3
Finland,FIN,2008,33.6
Finland,FIN,2009,34.7
Finland,FIN,2010,34.3
Finland,FIN,2011,31.1
Finland,FIN,2012,29.7
Finland,FIN,2013,29.5
Finland,FIN,2014,34.3
Finland,FIN,2015,33.5
France,FRA,2000,31.7
France,FRA,2001,32.6
France,FRA,2002,34.5
France,FRA,2003,32.5
France,FRA,2004,33.1
France,FRA,2005,36.3
France,FRA,2006,37
France,FRA,2007,36.5
France,FRA,2008,36.8
France,FRA,2009,37.4
France,FRA,2010,38.5
France,FRA,2011,39.1
France,FRA,2012,39.2
France,FRA,2013,35.6
France,FRA,2014,32
France,FRA,2015,30.9
Germany,DEU,2000,21.9
Germany,DEU,2001,22.5
Germany,DEU,2002,23.3
Germany,DEU,2003,24.3
Germany,DEU,2004,24.1
Germany,DEU,2005,24.3
Germany,DEU,2006,25.3
Germany,DEU,2007,25.7
Germany,DEU,2008,26.5
Germany,DEU,2009,27.3
Germany,DEU,2010,28.3
Germany,DEU,2011,27.9
Germany,DEU,2012,27.1
Germany,DEU,2013,27.5
Germany,DEU,2014,27.8
Germany,DEU,2015,28.1
Greece,GRC,2000,19.9
Greece,GRC,2001,18.6
Greece,GRC,2002,15.5
Greece,GRC,2003,20.7
Greece,GRC,2004,21.2
Greece,GRC,2005,23.7
Greece,GRC,2006,22.5
Greece,GRC,2007,22.8
Greece,GRC,2008,26.3
Greece,GRC,2009,27
Greece,GRC,2010,26.9
Greece,GRC,2011,22
Greece,GRC,2012,22.2
Greece,GRC,2013,25.8
Greece,GRC,2014,27.8
Greece,GRC,2015,24.7
Guatemala,GTM,2012,35.6
Guatemala,GTM,2013,21.8
Guatemala,GTM,2014,46.2
Guatemala,GTM,2015,30.2
Hungary,HUN,2000,34.2
Hungary,HUN,2001,37.7
Hungary,HUN,2002,37.9
Hungary,HUN,2003,37.2
Hungary,HUN,2004,36.7
Hungary,HUN,2005,39.4
Hungary,HUN,2006,40.9
Hungary,HUN,2007,39
Hungary,HUN,2008,40.8
Hungary,HUN,2009,39.9
Hungary,HUN,2010,40
Hungary,HUN,2011,38.2
Hungary,HUN,2012,36.3
Hungary,HUN,2013,38.3
Hungary,HUN,2014,37.6
Hungary,HUN,2015,39.1
Iceland,ISL,2000,30.4
Iceland,ISL,2001,30.2
Iceland,ISL,2002,32.3
Iceland,ISL,2003,40
Iceland,ISL,2004,38.1
Iceland,ISL,2005,30
Iceland,ISL,2006,34
Iceland,ISL,2007,33.1
Iceland,ISL,2008,37
Iceland,ISL,2009,38.4
Iceland,ISL,2010,37.1
Iceland,ISL,2011,39.1
Iceland,ISL,2012,38.2
Iceland,ISL,2013,37.9
Iceland,ISL,2014,38.2
Iceland,ISL,2015,39.5
Indonesia,IDN,2009,18.1
Indonesia,IDN,2010,20.1
Indonesia,IDN,2013,20
Indonesia,IDN,2015,20.8
Ireland,IRL,2000,35.2
Ireland,IRL,2001,39.9
Ireland,IRL,2002,38.7
Ireland,IRL,2003,40.8
Ireland,IRL,2004,39.7
Ireland,IRL,2005,43.6
Ireland,IRL,2006,41.4
Ireland,IRL,2007,41.2
Ireland,IRL,2008,43.1
Ireland,IRL,2009,41.4
Ireland,IRL,2010,40.8
Ireland,IRL,2011,29.9
Ireland,IRL,2012,29.8
Ireland,IRL,2013,30
Ireland,IRL,2014,30.8
Ireland,IRL,2015,29.5
Israel,ISR,2009,30.7
Israel,ISR,2010,33.5
Israel,ISR,2011,34.9
Israel,ISR,2012,31.6
Israel,ISR,2013,32.4
Israel,ISR,2014,32.4
Israel,ISR,2015,31.9
Italy,ITA,2004,18.8
Italy,ITA,2005,19.7
Italy,ITA,2006,21.8
Italy,ITA,2007,22
Italy,ITA,2008,21.6
Italy,ITA,2009,21.6
Italy,ITA,2010,21.2
Italy,ITA,2011,21.6
Italy,ITA,2012,22.2
Italy,ITA,2013,22
Italy,ITA,2014,21.9
Italy,ITA,2015,21.8
Latvia,LVA,2000,37.3
Latvia,LVA,2001,40
Latvia,LVA,2002,38.1
Latvia,LVA,2003,45.4
Latvia,LVA,2004,42.5
Latvia,LVA,2005,42
Latvia,LVA,2006,40.9
Latvia,LVA,2007,42.1
Latvia,LVA,2008,41.3
Latvia,LVA,2009,41.5
Latvia,LVA,2010,39.1
Latvia,LVA,2011,44.3
Latvia,LVA,2012,44.6
Latvia,LVA,2013,42.2
Latvia,LVA,2014,42.1
Latvia,LVA,2015,44.3
Liberia,LBR,2010,18.2
Lithuania,LTU,2000,43
Lithuania,LTU,2001,50
Lithuania,LTU,2002,48.5
Lithuania,LTU,2003,41.5
Lithuania,LTU,2004,46.8
Lithuania,LTU,2005,45
Lithuania,LTU,2006,42.8
Lithuania,LTU,2007,40.3
Lithuania,LTU,2008,41.5
Lithuania,LTU,2009,40.3
Lithuania,LTU,2010,42
Lithuania,LTU,2011,36.5
Lithuania,LTU,2012,35.3
Lithuania,LTU,2013,36.5
Lithuania,LTU,2014,35.4
Lithuania,LTU,2015,38.1
Luxembourg,LUX,2000,24.1
Luxembourg,LUX,2001,11.1
Luxembourg,LUX,2002,15
Luxembourg,LUX,2003,11.2
Luxembourg,LUX,2004,12.2
Luxembourg,LUX,2005,9.4
Luxembourg,LUX,2006,21.2
Luxembourg,LUX,2007,9.7
Luxembourg,LUX,2008,15.3
Luxembourg,LUX,2009,15.4
Luxembourg,LUX,2010,19.6
Luxembourg,LUX,2011,18.3
Luxembourg,LUX,2012,17
Luxembourg,LUX,2013,14.6
Luxembourg,LUX,2014,17.9
Luxembourg,LUX,2015,14
Macao,MAC,2014,32.5
Macao,MAC,2015,32.8
Macedonia,MKD,2006,23.6
Macedonia,MKD,2007,30.8
Macedonia,MKD,2008,30.2
Macedonia,MKD,2009,36.9
Macedonia,MKD,2010,30.7
Macedonia,MKD,2011,26.3
Macedonia,MKD,2012,23.3
Macedonia,MKD,2013,24.7
Macedonia,MKD,2014,26
Macedonia,MKD,2015,23
Madagascar,MDG,2012,24.5
Malaysia,MYS,2009,26.3
Malaysia,MYS,2010,29.4
Malaysia,MYS,2011,21.8
Malaysia,MYS,2012,20.7
Malaysia,MYS,2013,20.9
Malaysia,MYS,2014,21.5
Malaysia,MYS,2015,22.7
Mali,MLI,2015,5.2
Mali,MLI,2016,3.9
Malta,MLT,2002,18.2
Malta,MLT,2003,16.9
Malta,MLT,2004,12.9
Malta,MLT,2005,19.8
Malta,MLT,2006,19.9
Malta,MLT,2007,18.4
Malta,MLT,2008,15.9
Malta,MLT,2009,21.9
Malta,MLT,2010,23.7
Malta,MLT,2011,24.8
Malta,MLT,2012,26.6
Malta,MLT,2013,28.6
Malta,MLT,2014,26
Malta,MLT,2015,26.2
Mauritius,MUS,2011,21.5
Mauritius,MUS,2012,23.2
Mauritius,MUS,2015,27.6
Mexico,MEX,2009,32.9
Mexico,MEX,2010,33.5
Mexico,MEX,2011,29.3
Mexico,MEX,2012,32.2
Mexico,MEX,2013,31.6
Mexico,MEX,2014,32.2
Mexico,MEX,2015,28.8
Moldova,MDA,2014,46.8
Moldova,MDA,2015,48.5
Mongolia,MNG,2014,34.2
Mongolia,MNG,2015,37.8
Myanmar,MMR,2015,28.3
Netherlands,NLD,2000,21.5
Netherlands,NLD,2001,22.4
Netherlands,NLD,2002,21.7
Netherlands,NLD,2003,21.4
Netherlands,NLD,2004,22.3
Netherlands,NLD,2005,22.8
Netherlands,NLD,2006,25.2
Netherlands,NLD,2007,27
Netherlands,NLD,2008,26.7
Netherlands,NLD,2009,26.5
Netherlands,NLD,2010,27.1
Netherlands,NLD,2011,27.9
Netherlands,NLD,2012,28.2
Netherlands,NLD,2013,23.1
Netherlands,NLD,2014,24.1
Netherlands,NLD,2015,24.8
Norway,NOR,2000,24.7
Norway,NOR,2001,25.6
Norway,NOR,2002,27.7
Norway,NOR,2003,28.2
Norway,NOR,2004,29.7
Norway,NOR,2005,31
Norway,NOR,2006,34
Norway,NOR,2007,33.3
Norway,NOR,2008,32.6
Norway,NOR,2009,34.6
Norway,NOR,2010,35
Norway,NOR,2011,31.2
Norway,NOR,2012,31.2
Norway,NOR,2013,31.4
Norway,NOR,2014,33.3
Norway,NOR,2015,33.7
Palestine,PSE,2012,15.4
Panama,PAN,2009,31.4
Panama,PAN,2010,42
Panama,PAN,2011,45.1
Panama,PAN,2012,48.7
Panama,PAN,2014,43.5
Philippines,PHL,2009,40.6
Philippines,PHL,2010,40.7
Philippines,PHL,2011,40.5
Philippines,PHL,2012,41
Philippines,PHL,2014,41.3
Philippines,PHL,2015,41.3
Poland,POL,2000,31.4
Poland,POL,2001,27.7
Poland,POL,2002,29.3
Poland,POL,2003,34
Poland,POL,2004,35.4
Poland,POL,2005,34.1
Poland,POL,2006,36.1
Poland,POL,2007,37.1
Poland,POL,2008,36.2
Poland,POL,2009,36
Poland,POL,2010,37.5
Poland,POL,2011,35.9
Poland,POL,2012,35
Poland,POL,2013,35.5
Poland,POL,2014,36.4
Poland,POL,2015,37.4
Portugal,PRT,2000,22
Portugal,PRT,2001,22.6
Portugal,PRT,2002,28.3
Portugal,PRT,2003,27.1
Portugal,PRT,2004,30.1
Portugal,PRT,2005,29.1
Portugal,PRT,2006,31.4
Portugal,PRT,2007,30.8
Portugal,PRT,2008,31.3
Portugal,PRT,2009,34.4
Portugal,PRT,2010,35.7
Portugal,PRT,2011,26.2
Portugal,PRT,2012,27.9
Portugal,PRT,2013,27.6
Portugal,PRT,2014,31.8
Portugal,PRT,2015,30.4
Romania,ROU,2005,31.7
Romania,ROU,2006,33.7
Romania,ROU,2007,32.6
Romania,ROU,2008,34.3
Romania,ROU,2009,36.4
Romania,ROU,2010,36.3
Romania,ROU,2011,31.9
Romania,ROU,2012,30.8
Romania,ROU,2013,30.6
Romania,ROU,2014,30.7
Romania,ROU,2015,31.5
Serbia,SRB,2013,32.7
Serbia,SRB,2015,30.9
Seychelles,SYC,2011,39.9
Slovakia,SVK,2000,32.4
Slovakia,SVK,2001,34.3
Slovakia,SVK,2002,33.1
Slovakia,SVK,2003,33.9
Slovakia,SVK,2004,30.1
Slovakia,SVK,2005,29.2
Slovakia,SVK,2006,27.4
Slovakia,SVK,2007,32
Slovakia,SVK,2008,28.9
Slovakia,SVK,2009,31.4
Slovakia,SVK,2010,35.5
Slovakia,SVK,2011,27.7
Slovakia,SVK,2012,30.4
Slovakia,SVK,2013,30.3
Slovakia,SVK,2014,28.2
Slovakia,SVK,2015,27.8
Slovenia,SVN,2000,34.6
Slovenia,SVN,2001,36.4
Slovenia,SVN,2002,35.8
Slovenia,SVN,2003,41.9
Slovenia,SVN,2004,40.2
Slovenia,SVN,2005,42
Slovenia,SVN,2006,42
Slovenia,SVN,2007,37.6
Slovenia,SVN,2008,43.3
Slovenia,SVN,2009,44.7
Slovenia,SVN,2010,43.3
Slovenia,SVN,2011,38.9
Slovenia,SVN,2012,40.3
Slovenia,SVN,2013,38.6
Slovenia,SVN,2014,36.5
Slovenia,SVN,2015,37
South Africa,ZAF,2015,29.8
Spain,ESP,2000,15.7
Spain,ESP,2001,17.5
Spain,ESP,2002,18.1
Spain,ESP,2003,15.8
Spain,ESP,2004,19
Spain,ESP,2005,21.5
Spain,ESP,2006,23.2
Spain,ESP,2007,23.8
Spain,ESP,2008,23.8
Spain,ESP,2009,24.7
Spain,ESP,2010,27.1
Spain,ESP,2011,28.1
Spain,ESP,2012,28.8
Spain,ESP,2013,29.3
Spain,ESP,2014,29.4
Spain,ESP,2015,30.4
Sri Lanka,LKA,2009,20
Sri Lanka,LKA,2010,23.7
Sri Lanka,LKA,2013,23.5
Sri Lanka,LKA,2014,24
Sweden,SWE,2000,27.4
Sweden,SWE,2001,31.2
Sweden,SWE,2002,32.1
Sweden,SWE,2003,30.5
Sweden,SWE,2004,31.6
Sweden,SWE,2005,31.9
Sweden,SWE,2006,31.7
Sweden,SWE,2007,31
Sweden,SWE,2008,30.8
Sweden,SWE,2009,31.1
Sweden,SWE,2010,31.3
Sweden,SWE,2011,33.5
Sweden,SWE,2012,34.5
Sweden,SWE,2013,35.5
Sweden,SWE,2014,37.5
Sweden,SWE,2015,39.8
Switzerland,CHE,2000,16.1
Switzerland,CHE,2011,30.9
Switzerland,CHE,2012,31.4
Switzerland,CHE,2013,31.3
Switzerland,CHE,2014,31.3
Switzerland,CHE,2015,33.5
Tanzania,TZA,2014,17.3
Thailand,THA,2011,22.1
Thailand,THA,2012,25.6
Thailand,THA,2013,29
Thailand,THA,2014,30.5
Turkey,TUR,2006,17.3
Turkey,TUR,2007,18
Turkey,TUR,2008,19.4
Turkey,TUR,2009,20.1
Turkey,TUR,2010,18.8
Turkey,TUR,2011,13
Turkey,TUR,2012,14.3
Turkey,TUR,2013,16.6
Turkey,TUR,2014,15.5
Turkey,TUR,2015,14.4
Ukraine,UKR,2009,42.7
Ukraine,UKR,2010,42.5
Ukraine,UKR,2013,39.7
Ukraine,UKR,2014,39
Ukraine,UKR,2015,41.4
United Kingdom,GBR,2000,34.7
United Kingdom,GBR,2001,29.6
United Kingdom,GBR,2002,31.4
United Kingdom,GBR,2003,31.5
United Kingdom,GBR,2004,32.5
United Kingdom,GBR,2005,33.6
United Kingdom,GBR,2006,34.3
United Kingdom,GBR,2007,34.4
United Kingdom,GBR,2008,34.8
United Kingdom,GBR,2009,35.4
United Kingdom,GBR,2010,36
United Kingdom,GBR,2011,32.1
United Kingdom,GBR,2012,32.4
United Kingdom,GBR,2013,32.3
United Kingdom,GBR,2014,32.9
United Kingdom,GBR,2015,32.4
Uruguay,URY,2011,25.1
Uruguay,URY,2013,34.2
Uruguay,URY,2014,31.8
